link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjWNPV7lgpsBKzGi-piLw1XwyQFtuodMZgWTMdqjtkhjBuINZuyAVg=w43-h43-p-rp-mo-br100,ines talijancic,a year ago,"I must say how grateful I am to nurses doctors, I have been here twice; once for surgery and second time for other issues. All staff from the enterence to the establishment are amazing! Nurses and doctors,incredible! So grateful to be treated as I have.Thank you!"
https://lh3.googleusercontent.com/a-/ALV-UjVOJUARyoCavIQtcNqzFxPwsC1VjhK5hzdkR5XEifeNhib90yLK=w43-h43-p-rp-mo-ba4-br100,insane247,11 months ago,I went to the ER many many years ago because due to my lack of help for my severe insomnia I was abusing over the counter drugs at the time and I mixed something that I didn't know shouldn't be mixed. The nurses would not listen to me that …
https://lh3.googleusercontent.com/a-/ALV-UjUFg1WLdUFF6h40RHsOBYjnXetDGTcm2EuoXWynrewdL1PJgReG=w43-h43-p-rp-mo-ba4-br100,Yannick Leveille,9 months ago,"Just wanna say thanks to all the doctors, nurses and clerks who helped during my surgery on Dec 24th.. thanks to all the RN and HCA from the unit 34 who I ended being their patient for 4 weeks and from the physiotherapists (Steve & Nick) …"
https://lh3.googleusercontent.com/a-/ALV-UjUHmKyfTZOvv89BJk5xtdngVuTQZPT5sa7z6XuMY7Ae_2pnlLgu=w43-h43-p-rp-mo-br100,Becca R,a year ago,The Baby delivery team of Doctors and Nurses here was amazing during my delivery. It was long and tough and these people who I’d never met before went above and beyond being there for me and helping deliver my son. They listened and explained options when needed.
https://lh3.googleusercontent.com/a/ACg8ocILyowJaCMAsWBDrh7yb4MlDOyK8n4HRzKPLlnRQDnppYlJdQ=w43-h43-p-rp-mo-br100,Shane Babysh,7 months ago,"Tina in unit 21 was so helpful and fun, went above and beyond to help with discharge and great person all around.  Made the stay better beimg a hospital.  Greatly appreciate the help and humor.  Thanks Tina …"
https://lh3.googleusercontent.com/a-/ALV-UjVlD4RPZFJFEbW1TPpJ-sRL0MkDMpx7PDEe89V6gHFxphl6akc8=w43-h43-p-rp-mo-ba2-br100,dominique riddell,a year ago,"It would be 5 stars, but your receptionist in the MRI department was incredibly nosey on why I had to reschedule. (Work) She then asked me what I do for work and questioned my hours. Pretty much saying I was lying because I have to work …"
https://lh3.googleusercontent.com/a/ACg8ocKQOwqpRfK-_uIvqDa9CnhzryodaHG0A-qhLIrTkOi_BygaHuE=w43-h43-p-rp-mo-ba3-br100,Ash Hamilton,a year ago,My father was admitted for a infection a week of nothing my father toe turned black and they said it was fine and let him go home after a week he again was back at the hospital admitted and at the end they told him that they will remove his …
https://lh3.googleusercontent.com/a/ACg8ocJ9JniwiwENAppDFHD3KwiwCYe4dVYPPqkCufw8apFsvh23VA=w43-h43-p-rp-mo-br100,Nupur Anghan,7 months ago,I am waiting from 4 hours. I have an severe eye infection leading vision loss. System is not proper. Later I was diagnosed by bacterial infection on cornea. And I loss my eye. Very inappropriate
https://lh3.googleusercontent.com/a/ACg8ocKbyJMoYRlFPLfWwAegNl1sYxWeHZvK0A25JgnEluVZSCICQw=w43-h43-p-rp-mo-ba5-br100,Murphy Brown,a year ago,"My boyfriend was taken to emergency this afternoon from work.
When I arrived, he was staggering, talking fast, rambling, and not making any sense. …"
https://lh3.googleusercontent.com/a/ACg8ocKXU_s5utPSkUjacUESyTzKLUYZwoXC-07XNfej6IuLpSWbWA=w43-h43-p-rp-mo-br100,Reanna Ziccarelli,11 months ago,"AWFUL!!!! my grandmother is in the cardiac intensive care unit and the nurses are some of the worst I have ever seen in my life, they are lazy and slow, dismissive and rude.  You can find better service at a McDonalds, you can definitely …"
https://lh3.googleusercontent.com/a-/ALV-UjVZY_Rw_o33sd_tWNDAwpaLNW3aRkV4swllT_2AS7dUVKcE4fbV=w43-h43-p-rp-mo-ba4-br100,Kyla,a year ago,"This is definitely a two star hospital, let me tell you. I’ve been in hospitals all over the country what having two disabled siblings and this hospital is up there with the worst. …"
https://lh3.googleusercontent.com/a/ACg8ocLQz_dXSA59uZ0S1uBFLTUJEfhI3y-hpWVjr_wC3-cw0mCZuw=w43-h43-p-rp-mo-br100,Lorraine Becic,a year ago,"Can’t believe the Royal Alex Hospital has re-implemented to mask up again.  After all us people have gone through, as you now can see this hospital is run by corrupt heads.  So very, very sad.  No backbones, let people decide for themselves …"
https://lh3.googleusercontent.com/a-/ALV-UjWGqUTV0eebKTCTBZXT84KzaxRdNAWMKEI67SLRqbDF3ZMTCvA=w43-h43-p-rp-mo-br100,Danielle Aubichon,a year ago,I had my two year old here for a diagnostic scan on her eyes. The doctor was wonderful. He explained everything that would happen and he was great with my daughter. The first half of the scan went well. We had to wait 10 or so minutes in …
https://lh3.googleusercontent.com/a/ACg8ocIXi9HuluUQlzO-Fi4sNNwzLWeOTKKcsh5DbsyNAjXpSFDy0w=w43-h43-p-rp-mo-br100,Ramanpreet Kaur,a year ago,"EYE INFECTION and- No doctor showed up in EMERGENCY waiting since 5 hours. At reception, RN said there are no eye pateints, so where the hell is the doctor. I am having sever pain and my eyes turning red and headache. I am not sure if its …"
https://lh3.googleusercontent.com/a-/ALV-UjVJzjPl6Jsli2ThiE_ArAsFzloXJZP6sChFjUw5awUOJVU8OosF=w43-h43-p-rp-mo-ba4-br100,redeyeclick,9 months ago,Was there in the beginning of January and ended up there for 6 days ... most of them on 7th floor east ... Nora was absolutely amazing and a hard worker... she will go out of her way to make sure patients are okay 👌 ☺... great experience and Dr. Wilson got me fixed up and on the right track for recovery 😀 …
https://lh3.googleusercontent.com/a-/ALV-UjXAGOwby5DuTwN0WYyp1LZT5rX_oEATpgjY3mNjwiLuOfWp2wTx=w43-h43-p-rp-mo-br100,JeQboy,11 months ago,There is nothing what I can say. Emergency is the Worst Part of This “trip”. Nurses are rude. Woman can’t  Breath properly and we were waiting for 8 hours with deep pain in stomach . Probably who pays more  is more luck.
https://lh3.googleusercontent.com/a/ACg8ocI6ot4OnTs40se_0KiKpEQv_reo1kujMokwpPFjTss9bwXzoQ=w43-h43-p-rp-mo-ba2-br100,LC Strawberry,a year ago,"I was admitted for a antiobitoic treatment & fetal monitoring of my baby. First, I had 3 different nurses go back & forth between telling me I was admitted overnight, then back and telling me i’d be leaving in 4 hours. Explaining I’d have …"
https://lh3.googleusercontent.com/a/ACg8ocKf_CEFeSfljpczwaS3GTk5Ls1sZ_IE9-43WUMKe1zc-k3F=w43-h43-p-rp-mo-br100,Kathy Walkhouse,a year ago,The mental health units on this hospital are the best my family and I have experienced by far. Props to the staff and doctors who listened to their patients over the years and have improved the experience for individuals suffering greatly …
https://lh3.googleusercontent.com/a-/ALV-UjVwloJUA7UT83HqekQwwawoWaUSBUipoqyTVxoVUZkuGcfdIwQAWA=w43-h43-p-rp-mo-br100,SHA I RA,a year ago,We went to my mom’s appointment for her MRI. Everything is good  the front desk lady is very nice same with the security guard. But at the mri department they’re not compassionate i can say. While i was waiting for my mom  the nurse (lady) …
https://lh3.googleusercontent.com/a/ACg8ocLotXJtCeRfo5OL_vN4sGXeCvF-UnbcJSdvUhDic6H-G5tCWA=w43-h43-p-rp-mo-br100,lol836 Jdhd,a year ago,"if i could add 0 stars i would. this god forsaken hospital did NOTHING to help my ill aunt, her physio team treated her like NOTHING and it took MONTHS to get good doctors. unfortunately, due to the utter stupidity of the staff, she has passed on. do better next time, because this hospital is horrible."
https://lh3.googleusercontent.com/a-/ALV-UjX1zJ55Tf6fOCsrTPLEE4h9Qi1wMFfe2q1gQgJrBiRFq4wPqDg=w43-h43-p-rp-mo-br100,Terry Grant,a year ago,"Went in for hard time breathing, tight chest and feeling faint. Was stuck in the ""hallway"" for 6 hours. When I had a change in status the nurses both were nonplus and ""Justin"" told me ""Oh well it's a bad day to be sick."" Both floor nurses …"
https://lh3.googleusercontent.com/a/ACg8ocLPj8TfkBwCDwW4m9BrRN2Ff9P4E7UZiq78H3h1R7OzAo5ogA=w43-h43-p-rp-mo-br100,CS Gunderson,a year ago,"I have thankfully never had a hospital visit but we choose the Royal Alex for the delivery of our baby and it was a great experience. I was very concerned the staff would push me to do things I did not want to do, but they respected my …"
https://lh3.googleusercontent.com/a/ACg8ocJpDUM-MukSI2ADXW-pjG8SWK1hlnJDi4Htrs2Mplp8V8xrNg=w43-h43-p-rp-mo-ba2-br100,Lakshani Perera,a year ago,Inhumane treatment of humans. I was there  April 2nd from 9:30pm- 6am ish  Front desk check in nurse was ok made my cut stable cleaned it up so I knew I’m less priority which is fine I realize i would have more of a wait to see doctor. But …
https://lh3.googleusercontent.com/a-/ALV-UjXq4AFVrn_0-tPTQU4ebHNljVr0CJSVX3_MIT4VJHZG_yencI-D=w43-h43-p-rp-mo-ba4-br100,Neil Ritokoski,a year ago,"Awesome place, Wife was having a relapse and sent here due to bed availability. Doctors and nurses are very helpful and try their best to keep you in the loop at all times. Tough job and all my best for these hard working individuals"
https://lh3.googleusercontent.com/a/ACg8ocJ-PGj4TdTgJS1EWl8aXjUa_co6mnbZayZGURp4n6p3Ab0ptg=w43-h43-p-rp-mo-ba4-br100,Sheila Carter,a year ago,"After going to emergency at NECH  7am yesterday my spouse was referred to RAH to have fluid removed from lungs.
Many thanks to Dr Ferguson,  Dr Haager and all supporting staff in Emergency …"
https://lh3.googleusercontent.com/a/ACg8ocL1oOiCHXKqpQl__A-G3YwsT34btEKm8-yR0FkrbtOaQIUY1g=w43-h43-p-rp-mo-ba4-br100,Stephen Wright,3 years ago,"First I want to say that ER and ICU staff are amazing!! Other than that, this is the WORST hospital I have ever had the misfortune of having my wife at. Day staff in unit 44 where amazing and wonderful, caring people. …"
https://lh3.googleusercontent.com/a/ACg8ocLsn4gPdScEgx5yJv6vk0JUlaOdTvn6b5V9GQUuffV-1QLEcg=w43-h43-p-rp-mo-ba3-br100,Louise Angry,6 months ago,What a joke. A month out to book an appointment to drop off a semen sample??? Ive paid taxes for the last 13 years in this province and i have to wait for this beaurocracy. Not impressed.
https://lh3.googleusercontent.com/a-/ALV-UjVJ26wNklPhB45Kz9KV_sFj1CxiR6aDGh1RftpXYGccs7TpMoJh=w43-h43-p-rp-mo-ba4-br100,Stephanie Macdonald,a year ago,I went into the Royal Alexandra Hospital the other day for my preop exam as I am getting ready for a gastric bypass surgery next week and I generally hate hospitals so as you can imagine I am getting more nervous as the day gets closer. I …
https://lh3.googleusercontent.com/a-/ALV-UjUdssv4we71AmppnZN6dxyqaENf6q5g9mOG_Rc4SHkyZPFJ9OU=w43-h43-p-rp-mo-ba3-br100,Peter W,11 months ago,I had surgery done in this freaking Hospital. After the surgery. I caught a infection so bad I had to take multiple antibiotic to get rid off. My uncle was sick and admit into this Hospital. This place was so dirty. There was dirt that can be measured by multiple cup full.
https://lh3.googleusercontent.com/a/ACg8ocKuABwZeyVGVtwJtWQHOiTrkq0W3ntwK6OkF_VZHpEQozWdRA=w43-h43-p-rp-mo-br100,Steve,a year ago,After staying a night in the er for possible internal bleeding. They told me 4 hr wait was there 13 hrs. Then when I got in they ran tests. After drinking some water that was impossible to keep down they gave me the option of a nausea …
https://lh3.googleusercontent.com/a-/ALV-UjUw68mUIvj6FyPcUY7j8yf-0nB-B9x2Zk0f7WktV0jpmLvv6RTv=w43-h43-p-rp-mo-ba5-br100,Heather,a year ago,"Reception staff are knowledgeable & assist you in any way they can.
This is a very high volume area with numerous activities being carried out in a confined area. …"
https://lh3.googleusercontent.com/a/ACg8ocJ8b_ECYJWNV_025vNNpHDjQoLmp3vk1Z2xyiwfGrbdRy64pQ=w43-h43-p-rp-mo-br100,Kofi Osei,11 months ago,"If you ever need the services of Royal Alexandra Hospital in Edmonton Alberta you are good as dead. They will prescribe any antibiotic under the sun just to get you out of the door without any proper yests and diagnosis, like a swab to …"
https://lh3.googleusercontent.com/a/ACg8ocJqKWr7IUgM8fktRCdmllNeuQAgwHVvck0vTFdkk4pK4WIp_g=w43-h43-p-rp-mo-ba3-br100,jake humkley,a year ago,"I was with my friend who was getting a hernia operation. The nurses were excellent to him and very polite to me as a visitor. I know hospitals get a lot of flack, but i believe most people working there try there best."
https://lh3.googleusercontent.com/a-/ALV-UjVUSE_gLtwHNijvEqqQeQKVrSRvuwgZ6kS8l9wtbg8yWLSOUacP3g=w43-h43-p-rp-mo-br100,Lyn Hessels,2 years ago,"My husband went in for heart surgery  last Friday.   He is out and home already (with a pacemaker).  Thank you to all the staff for your support and care.  We only seem to hear the bad stories sbout hospitals, but I have nothing but praise …"
https://lh3.googleusercontent.com/a/ACg8ocLr9IMi-RyPkW2NC58xgbaNXCLtNYHM_3CNtpw4MgsYZJL5rw=w43-h43-p-rp-mo-br100,Janelle Sentner,2 years ago,"I read many reviews on this hospital before i stayed here and unfortunately i had no other choice. This is the first time ive gotten surgery in a hospital where ive had to stay, and if you have a choice of hospital dont choose this one. I …"
https://lh3.googleusercontent.com/a/ACg8ocJ97iEcB7a0WdPCxAAm-UOufWlOsvE6arD7IMzK_1bKstGyEw=w43-h43-p-rp-mo-br100,Elizabeth Munro,a year ago,"I had a lumbar puncture on Dec 15, 2022. Dr Brad(first name) and his team were excellent at keeping me calm. He was gentle and smooth and before I knew it, had the procedure underway with me at ease. I was then watched over by excellent nurses for an hour and offered a snack and drink and sent on my way with discharge instructions."
https://lh3.googleusercontent.com/a/ACg8ocLp2zdBVCdUlR0ASeNfY1qL9fKY_ZLTxry39sdvYHTSbA49rg=w43-h43-p-rp-mo-br100,Amabella Colita,8 months ago,Omg this hospital is the worst.  The nurses are always talking.  They don't even check on the patients.  I call themm severak times abd it seems they are in break all the time. Why do they are nurses if they don't like the work. They are on their phones all the time.
https://lh3.googleusercontent.com/a/ACg8ocK5DBOwkx2u2qBxrqA3OTgC9_n6gl-TObVhCz07l1ED7gWPyhei=w43-h43-p-rp-mo-ba5-br100,Seun O,a year ago,"Fairly decent. Structure looks old, need upgrade. Elevators and hallways are really dirty. Appears to be poorly maintained. Staff are good. Parking is ok but still not adequate for public and patient parking.  Needs better management in my opinion"
https://lh3.googleusercontent.com/a-/ALV-UjWJ9sz_mXsT8SHKMEqGaQUx327W_BKf9d3g3F9BxJ2jzJBO21Pe=w43-h43-p-rp-mo-br100,Maria Theresa Llona Deagle,a year ago,"I had a horrible experience with my 3 year old son he was sick had a fever, stomachache and was crying non stop really for an hour straight which upset everyone around. I decided to leave because everybody is yelling at me to quiet my kid …"
https://lh3.googleusercontent.com/a-/ALV-UjX5YmyIm6BofCWJQ1BfGhwxB8DjMFnwNTIvxL0R-didZ4FNawLg=w43-h43-p-rp-mo-ba4-br100,Bernadine Maillet,6 months ago,My dad is there. I was just visiting. Nurses were busy taking care of patients. It was a good visit.
https://lh3.googleusercontent.com/a/ACg8ocIkbeqGHPKuAC1GD2JO6UuZgqE0QSKlHL9EKDjUfr8joqhuyg=w43-h43-p-rp-mo-br100,Cyril Anne Liwanag,a year ago,"The receptionist in child ambulatory clinic is so rude. I can’t even finish asking questions every time I try to, she is disrespectful and arrogant. I am not even insisting, I am only asking questions. She should be aware that mom’s …"
https://lh3.googleusercontent.com/a-/ALV-UjU6ax95y1VUd8q4PGakQdzljEziHftj6f7M7MhUt9rzo2nZF7vs=w43-h43-p-rp-mo-ba4-br100,Michelle Harris,a year ago,"It's a Hospital,  had a specific test done and I was out. Clean and friendly staff.
Security on site. …"
https://lh3.googleusercontent.com/a/ACg8ocL-W20D10ZPrzGdNOoaHrLv2VMjPY1Bz6xXhfMKjdITYsY1kw=w43-h43-p-rp-mo-br100,Christopher Quinton,2 years ago,"An excellent team, led by Dr. Jeffery, performed vocal cord surgery with amazing results. I cannot thank them enough. I must also specifically thank the most incredible nursing team I have ever experienced in my life time. They were the …"
https://lh3.googleusercontent.com/a-/ALV-UjWwKe6acRYwEbLReySfDcFb657KELiBES0v1d01fpbloVBu21ei=w43-h43-p-rp-mo-br100,Colleen Badgers,a year ago,"Am having the worst after surgery experience with the nurses. They keep lying to me about one thing or another. They still haven't told me what has happened in surgery, not only that, I'm in so much pain I have to walk around to not think …"
https://lh3.googleusercontent.com/a-/ALV-UjVWLvARtwwTGFemKoldS7uMkw7J5-JqRhz10sORN7wm-vCAsG4O=w43-h43-p-rp-mo-ba3-br100,akhil Wilson,a year ago,"All staff are friendly at emergency , but not good for kids to go there, it’s full of homeless with drug. We have to wait 6 hrs between them. And emergency waiting room is dirtiest one even bathroom too."
https://lh3.googleusercontent.com/a/ACg8ocKJyLdMgCaMIds-exKNHcCLvNbyI9Injwsri6ITclOrOoJEoN8=w43-h43-p-rp-mo-br100,enen nene,2 years ago,Please hire more physicians!!! Everyone will literally die if there are no orders from the doctor. We waited more than 9 hours with my partner massively hit by the car and was thrown away and bleeding in the leg. I wonder how they are …
https://lh3.googleusercontent.com/a/ACg8ocLF37bhzhZz6j1wevp3wVdaluedsiidplDYIE6Y4ECpGta5kg=w43-h43-p-rp-mo-br100,C. Stirling,2 years ago,"My father just died in agony in your care.

While I am completely understanding of the fact that there was nothing you could …"
https://lh3.googleusercontent.com/a-/ALV-UjXHo6cDwmthAkyjC0CMDQIjLHbJFbT0AjLYo2e4DbQSksfaCN0=w43-h43-p-rp-mo-ba3-br100,Darcy Wade,a year ago,"The doctors there are second to none!
The nurses go through a lot of stress with so many rude patients, but it's to be expected due to the hospital being located right downtown, and insanely long …"
https://lh3.googleusercontent.com/a/ACg8ocJZQfmb_59EJRpV-Uq8QhvOEX6BOJmfZfOzgNwA3HUq1wV45w=w43-h43-p-rp-mo-br100,Agnes Blich,2 years ago,Front desk nurse are extremely not nice and not polite. You have to wait long time and if you ask them about your waiting time or anything else they are rude and not able to help you and not even try to helps you. Inside doctors are amazing and nurse are patient and nice.
https://lh3.googleusercontent.com/a/ACg8ocJsFqbFxDXw6qOBCpqNLIEdPnudBoZOnBMDssDYhLXS6FMs2Q=w43-h43-p-rp-mo-br100,Robert Johnson,2 years ago,"My wife and I went to the MRI Imaging center this week to get a scan done. The technician who assisted us (Delia) was nothing short of amazing. Professional, courteous, friendly and knowledgeable, she made my wife feel completely …"
https://lh3.googleusercontent.com/a/ACg8ocJnxdQR4jqIi7s2-z8TonlJQkxOvanjx3mxmYC_jAJNfQJyuA=w43-h43-p-rp-mo-br100,Minolo,3 years ago,"People need to get off their high horse, we're all trying to get by and they're doing their job.
Had to wait a few days with a life threatening injury, but I was stable. Others, …"
https://lh3.googleusercontent.com/a-/ALV-UjW26bxZ6VI8dREjVDgA_E50Yhn9HEUev-XdDXTE5L4ZWaA9e1k=w43-h43-p-rp-mo-br100,Mamashmeeky,2 years ago,"Went in for severe chest pains. Waited 8 hours! Despite me waiting that long, the doctor couldn’t wait a few minutes for my mom to come back when she went out to use the washroom, as she wanted to talk to him about my situation. First it …"
https://lh3.googleusercontent.com/a/ACg8ocJR8cxDqMYWOObyBeYfwLylclujv0UCAn1LzlZqFhP4I49VQw=w43-h43-p-rp-mo-br100,Hayley Newman,3 years ago,"Was transferred here from another hospital, I recieved wonderful care from all staff, just as I did from NECHC. Had specialized scans scheduled for 9am, moved to 1pm and then moved again to 3pm. Things happen, it's a busy hospital, I was …"
https://lh3.googleusercontent.com/a/ACg8ocIHrvf9LLpmQVK-YXHu-eBTfJyb10s5FN60VbigbQHxHhUVipY=w43-h43-p-rp-mo-br100,Rachel Heinze (Rainbow),a year ago,"Ongoing months of treatment now, from emergency to liver specialists & their team, kidney specialists & their team, everyone in between including the food court restos, thank-you for making a poopy partner life SO positive with light, love, & laughter."
https://lh3.googleusercontent.com/a-/ALV-UjV6FDyqbIqbhvKagIQdWf-XqBBw0YZwBU2OUeaxX2fhWdhc6b5_=w43-h43-p-rp-mo-ba4-br100,Rick L'Hirondelle,a year ago,"Ophthalmology at this hospital is atrocious, as after they operated on my daughter's gallbladder, they wrote her a prescription without asking if she had any health coverage, and seeing as our family is struggling with hard times right now, …"
https://lh3.googleusercontent.com/a-/ALV-UjWMYHaodQfmMkoiGIhcPfYo4OTFoli0LSGinsnCfZcRANVClxI=w43-h43-p-rp-mo-br100,OzFox777,2 years ago,"I am very happy with the staff that made my day on the Cardiac Unit. They were all really good,but one really stood out. I feel terrible her name slips me right now, but the nurse from Neerlandia left before I got a chance to tell her how …"
https://lh3.googleusercontent.com/a-/ALV-UjV-C0YxGootABTu5j2TafHTidMg1UTow1PJ_zxabszrTC3UZmc=w43-h43-p-rp-mo-br100,McKenna Donlee,2 years ago,"I came here for surgery and was quite anxious having had nightmare surgeries at other hospitals before. My surgical team was great, but while waiting with a porter for an elevator to the surgical floor, I also happened to be near a hospital …"
https://lh3.googleusercontent.com/a-/ALV-UjUG_biyYMjQ6Pl-YsB3MCiu3pPZE73meo7VbwVdA2GpaQxiJEAS=w43-h43-p-rp-mo-ba4-br100,Mattie Brown,3 years ago,"I have been in the emergency room and admitted a few times. Triage staff have always been very kind and the doctors and nurses always made me feel comfortable. Even when I was at my worst, they were compassionate and uplifting.
Thank you all for being there."
https://lh3.googleusercontent.com/a/ACg8ocKRwcyaj_FPwEwpZFs8fVjaBQwMK4oMpZfl7ovmat4NJP3DoA=w43-h43-p-rp-mo-br100,Edwin Pietsch,2 years ago,I had a friend who had surgery and this hospital needs some help! I feel like one hand doesn’t know what the other is doing. I feel the place needs a good cleaning and it needs some air conditioning possibly it wasn’t even 22°C outside and …
https://lh3.googleusercontent.com/a-/ALV-UjWG-qRP3rIM3MgJgbLMuP2l9n3IE6iyjaYqxmBIUCSiiC7u39U=w43-h43-p-rp-mo-br100,Man Schlag,a year ago,"A terrible hospital with bad facilities and poor coordination. Even the doctors are rude and condescending. One doctor, Dr. Oslenchuk even screamed at me in front of a fully loaded waiting room when I confronted him about an incompetant intern of his."
https://lh3.googleusercontent.com/a/ACg8ocLKUYEORQQIU81rnjcWaL_PMnYNMimXOtaPqOM5Nz9wmkgVlA=w43-h43-p-rp-mo-br100,Tay M,4 years ago,"We had an appointment here this morning in the orthopedic Department. The doctor evaluating us was the rudest person I have ever I encountered. The rooms they place you in are cloth walls, so you can hear everything being said and done in …"
https://lh3.googleusercontent.com/a/ACg8ocL51smP6ZuJdrNAnEG8lSSM4KwIk3dXns7zPJvODWhdg9OwSw=w43-h43-p-rp-mo-br100,Shelly Buckland,2 years ago,"I had day surgery for a macular hole, and all the nurses, Dr.s, anesthesiologist, respiratory therapists and students were all amazing. So friendly and helpful and made me feel totally comfortable. Thank you all for making a stressful time so much better!!"
https://lh3.googleusercontent.com/a-/ALV-UjX7OAPhp37RicntDvNFQuG0Q60ApJEPGJcEQJGdAe1xDytyDKL_=w43-h43-p-rp-mo-ba3-br100,Robert S,2 years ago,"I still have major ptsd from this hospital. As a kid it saved my life. As an adult I had to back several years ago to a lady that would scream at police officers, and then pretend I didn't exist to the point she was dumb enough to laugh at …"
https://lh3.googleusercontent.com/a-/ALV-UjW2cgdVH2nies5I_VAhkwgnPROa4auCIb403-tRzOmPoTr5fp4=w43-h43-p-rp-mo-br100,Eris H,2 years ago,If there was a way to make a direct review of the Bariatric Specialty Clinic (inside the Royal Alexandra Hospital) than I would have put my review there and not here. I was going to let things be but 4.5 months later I get a letter in the …
https://lh3.googleusercontent.com/a/ACg8ocJRjgtwAZLhPxJbdhJ2FGr4qnT7kfgiRNu2DW3IIx-cAiHk5g=w43-h43-p-rp-mo-br100,Scott and Candace,a year ago,"I was admitted to the CK Hui Heart Centre and from the second I arrived I felt a great sense that my health was a priority and my concerns were heard. Great specialists, nurses and support staff were polite and supportive. Thank you all."
https://lh3.googleusercontent.com/a-/ALV-UjXIjbAbP2SaR5W6ac0XA769VMzqX6vhRZWRK8_Jto4I0Vygim4=w43-h43-p-rp-mo-ba2-br100,Josh Haughton,3 years ago,This rating is for the efficiency of the ER. 8 hours is a disgrace for an emergency room when people are in serious pain. I spent about 4 days on ward 21 and the nursing staff are amazing so I want to be clear that this isn't a reflection …
https://lh3.googleusercontent.com/a/ACg8ocJtN6mgQZI6HeaPMHqX-Vi1RmUx5aUaIFO1mSI_sGs8maYfcg=w43-h43-p-rp-mo-ba3-br100,AJ Jossy,2 years ago,"Ya'll expect free heathcare and expect to not have to wait for it 🤦‍♀️fun fact: emergency room triage prioritizes people who need more immediate medical attention. Sure, I was in excruciating pain for an hour in the waiting room, but I'm …"
https://lh3.googleusercontent.com/a/ACg8ocKIKjPpBU_Y2csxbXhq6t4EPziFiOZWCRJIfVmIpSp8whxMIw=w43-h43-p-rp-mo-br100,Neil McGillis,5 years ago,I appreciate this hospital very much  the nursing staff is very dedicated and professional and caring and the doctors are very understanding and thay care about their patients. ..one thing that bothers me is how some patients when checking …
https://lh3.googleusercontent.com/a-/ALV-UjVYDCEqrxMxCCB-E8-J6aNwOUs8UPZVoo_hNTgCKQ7lI79sFbjBuA=w43-h43-p-rp-mo-ba4-br100,Lorraine Bouchard,5 years ago,"Our nurse was a terrible and uncompassionate woman. She cussed out my friend with liver failure regularly through our stay here and when there was an accident she turned to us (the visitors) and said ""so are you going to clean this sh*t …"
https://lh3.googleusercontent.com/a/ACg8ocLROVXYbxzMwm4vun7I617P8efaqsYiHDR3x0ZD48k-wh-AYQ=w43-h43-p-rp-mo-br100,Sree,3 years ago,"I was wheeled to emergency room in B6 on 7 th February 2021 early morning, where I was well treated and given the best care  by the doctor and the nurses there. I missed the male doctor's name who took care of me. Thank you very much to the …"
https://lh3.googleusercontent.com/a-/ALV-UjWne3sEJqbqfxka2lRA14UqZeQtMlrg3STbAMqWAm00GEeyg-Ln=w43-h43-p-rp-mo-br100,Haein Lee,3 years ago,"Been there for high blood pressure clinic. I knew that I would have high blood pressure because of family medical history. However, I talked to the doctor that I won't have time for visiting nor take test for a while cause I am really busy. …"
https://lh3.googleusercontent.com/a-/ALV-UjV9VLWpOwtpJzYPgTeuqSSMB3wyALEcAstdn0471CnheOumTi1yCg=w43-h43-p-rp-mo-ba5-br100,Donna Organ,a year ago,"Mom has been getting exceptional care in emerg for bilateral pneumonia. All the staff have been super nice, helpful and know what they're doing!
Thanks to all of you, you are making a difference in people's lives!!"
https://lh3.googleusercontent.com/a-/ALV-UjUipYp6vfHpR_h8CyiCGOZtDUdYkNP5Fh0cVR2SnF8lq5nJVDqa=w43-h43-p-rp-mo-ba2-br100,She Swallowed My Children,4 years ago,"Very rude staff,nurses and a handful of doctors. Every time I’ve gone there I’ve gotten sick or an infection that nearly killed me. The nurses are very uninterested in doing things properly the first time and are quick to point blame. I had …"
https://lh3.googleusercontent.com/a/ACg8ocLPS8frqZCHazxkaNQYYpM420Lm9C6GQcH9Txx9W3sesDZpTA=w43-h43-p-rp-mo-ba2-br100,Batoul Istabouly,5 years ago,"Went in to visit my dad who got injured at work. The nurses here are so unbelievably rude, saying this as a nursing student they threw their ethics and morale training in the trash when they graduated because it is such an essential part of …"
https://lh3.googleusercontent.com/a-/ALV-UjUSxsg31V79_lrKlNucHL8FI4NdXCDMSA0p9SivS3oNjCtwjM01=w43-h43-p-rp-mo-ba3-br100,Jordan,3 years ago,Sad reading some people's comment on how they had to wait for care.....guess they feel the medical professionals made a mistake by treating other patients with far worse injuries than their own. And then the comments about doctors …
https://lh3.googleusercontent.com/a-/ALV-UjXpVH1hJfHqbwACroaeVgJwD2JbChG5x1IZ6KXad95uX6SN46yd=w43-h43-p-rp-mo-br100,K LeFay35,5 years ago,"Once in the hospital, doctors and  nurses are very attentive and professional...as are the security guards. The food is better there than most other hospitals (Especially the pudding). If you are going into the emergency room, however, at …"
https://lh3.googleusercontent.com/a/ACg8ocKwqK0ZRpj9FahK4tdZP2M6_fDZ4gzJ4YYv4r_aX5obaCzoig=w43-h43-p-rp-mo-br100,Chantal Beam,4 years ago,I recently had day surgery. Nurse Jackie checked me in and made feel at ease. She was so caring and had a wonderful sense of humour which helped my anxiety. Everyone who cared for me was outstanding. Nurse Rebecca cared for me until I was …
